OrigFdCd; OrigFdNm; EngFdNam; SciNam; EDIBLE; NCF; FACF; ENERC [kJ]; ENERC [kcal]; FAT [g]; FASAT [g]; FAMS [g]; FAPU [g]; FATRN [g]; CHOT [g]; CHO [g]; SUGAR [g]; FIBT [g]; PROT [g]; ASH [g]; NA [mg]; NACL [g]; WATER [g]
37; Jablka; Apples, raw; Malus domestica Borkh.; 0.92; 6.25; 0.800;219;52; 0.4; 0.13; 0.01; 0.16; ; 12.8; 10.5; 10.9; 2.3; 0.4; 0.3;4;0; 86.1
739; Jablka sušená; Apples, dried; ; 1.00; 6.25; 0.800;1331;314; 0.5; 0.08; 0.10; 0.26;0; 79.4; 72.7; 58.3; 6.7; 1.3; 1.7;189; 0.47; 17.2
929; Jablka, loupaná, prùmìr; Apples, peeled, raw; Malaventum/Malus; 0.77; 6.25; 0.800;231;54; 0.2;0;0;0;0; 13.0; 12.6; 11.3; 0.4; 0.4; 0.2;0;0; 86.2
972; Jack fruit, chlebovník obecnı; Jackfruit, raw; Artocarpus heterophyllus; 0.31; 6.25; 0.800;390;93; 0.8;0;0;0;0; 21.4; 17.0; 11.4; 4.4; 2.2; 1.1;0;0; 74.5
973; Jack fruit, sušenı; Jackfruit, dried; Artocarpus heterophyllus; 1.00; 6.25; 0.800;1622;388; 11.1; 4.27; 3.85; 1.01;0; 77.7; 58.0; 57.8; 19.7;4; 2.3;1;0; 4.9
581; Jáhly; Millet, raw; ; 1.00; 6.25; 0.720;1522;359; 2.5; 0.22; 0.43; 1.17;0; 72.8; 71.6;0; 1.2; 11.9; 0.1;0;0; 12.7
38; Jahody zahradní; Strawberries, raw; Fragaria x ananassa Duchesne; 0.96; 6.25; 0.800;158;37; 0.4; 0.04; 0.06; 0.24; ; 8.6; 6.7; 6.0; 1.9; 0.8; 0.7;3;0; 89.5
218; Játra hovìzí; Liver, ox, raw; ; 0.93; 6.25; 0.760;548;130; 4.0; ; ; ; ; 4.3; 4.3; ;0; 19.2; 1.3;126; 0.3; 71.2
699; Játra husí; Goose liver; Anser anser domesticus; 1.00; 6.25; 0.741;493;117; 2.7; 1.04; 0.54; 0.19;0; 1.26; 1.26;0;0; 21.9; 1.4;88; 0.22; 72.8
526; Játra kachní; Liver, duck, raw; ; 1.00; 6.25; 0.741;510;121; 3.3; 1.06; 0.94; 0.44;0; 2.2; 2.2;0;0; 20.6; 1.4;79; 0.20; 72.5
594; Játra králièí; Liver, rabbit, raw; ; 1.00; 6.25; 0.741;466;111; 3.4; 0.99; 0.52; 1.00;0;0;0;0;0; 20.0; 1.6;69; 0.17; 71.2
700; Játra krùtí; Turkey liver; Meleagris gallopavo f. domestica; 1.00; 6.25; 0.741;478;113; 3.1; 1.06; 0.53; 0.53;0; 0.57; 0.57;0;0; 20.7; 1.4;86; 0.21; 74.2
226; Játra kuøecí; Liver, chicken, raw; ; 1.00; 6.25; 0.741;509;122; 5.0; 1.48; 1.63; 0.59;0; 2.4; 2.4;0;0; 16.8; 1.3;71; 0.18; 74.7
585; Játra kuøecí, Zlaté kuøe; Liver, chicken,  type - golden chicken, raw; ; 1.00; 6.25; 0.741;437;104; 2.9; 1.04; 0.57; 0.52;0;0;0;0;0; 19.4; 1.4;79; 0.20; 74.3
221; Játra telecí; Liver, veal, raw; Bos taurus; 1.00; 6.25; 0.916;634;152; 6.1; 2.62; 1.66; 0.47;0; 3.00; 3.00;0;0; 21.3; 2.0;64; 0.16; 67.6
204; Játra vepøová; Liver, pig, raw; ; 1.00; 6.25; 0.741;496;118; 2.7; 0.42; 0.70; 0.43;0; 3.9; 3.9;0;0; 19.4; 1.4;97; 0.3; 72.6
243; Játra, tresèí v oleji a vlastní šávì; Liver, cod, in own oil and grease; ; 1.00; 6.25; 0.000;2470;600; 64.4; ; ; ; ; 1.0; 1.0; ;0; 4.2; 2.0;589; 1.5; 28.4
217; Jazyk hovìzí; Tongue, ox, raw; ; 0.85; 6.25; 0.920;779;187; 13.7; ; ; ; ;0;0; ;0; 16.0; 1.0;95; 0.2; 69.3
300; Jazyk vepøovı; Tongue, pig, raw; ; 0.92; 6.25; 0.965;777;187; 13.5; 4.63; 6.95; 1.78; ;0;0; ;0; 16.3; 1.0;104; ; 69.2
164; Jeèmen nahı; Naked barley; Hordeum vulgare var. Nudum; 1.00; 5.83; 0.720;1420;336; 3.0; 0.48; 0.33; 1.32; ; 71.3; 59.6; ; 11.7; 11.9; 1.6;4;0; 12.4
627; Jeøabiny; Rowanberry, raw; Sorbus; 1.00; 6.25; 0.800;271;65; 1.0; 0.12; 0.31; 0.54;0; 16.4; 9.9; 1.3; 6.5; 0.7; 0.6;0;0; 81.2
173; Jeatka; Indian barnyard millet or sawa millet; Echinochloa frumentacea; 1.00; 6.25; 0.720;1498;357; 7.5; 0.49; 1.40; 3.50; ; 69.4; 46.7; ; 22.7; 14.4; 4.2;4;0; 4.6
628; Jidášovo ucho, sušené; Jew's ear, dried; Auricularia auricula-judae; 1.00; 6.25; 0.800;762;188; 0.7;0;0;0;0; 76.4; 2.6;0; 73.9; 5.9; 4.3;30; 0.07; 12.6
313; Jitrnice; Meat product, white pudding; ; 0.87; 6.25; 0.000;1140;272; 19.1; ; ; ; ; 10.4; ; ;0; 15.1; 2.9;1125; 2.8; 52.5
126; Jogurt bílı, 3,5 % tuku; Yogurt, plain, 3.5% milkfat; ; 1.00; 6.38; 0.945;311;74; 3.5; 2.26; 0.95; 0.10; ; 5.2; 5.2; 5.2;0; 4.5; 1.0;59; 0.1; 84.6
125; Jogurt bílı, se sníenım obsahem tuku, 1,5 % tuku; Yogurt, plain, reduced fat, 1.5% milkfat; ; 1.00; 6.38; 0.945;216;51; 1.5; 0.97; 0.41; 0.04; ; 4.3; 4.3; 4.3;0; 3.9; 0.9;51; 0.1; 88.0
127; Jogurt smetanovı, min. 10 % tuku; Yogurt, plain, min. 10% milkfat; ; 1.00; 6.38; 0.945;491;119; 10.0; 6.47; 2.70; 0.29; ; 3.3; 3.3; 3.3;0; 3.0; 0.7;40; 0.1; 82.0
1007; Jogurt, bílı, odtuènìnı; Yoghurt, plain, skimmed; ; 1.00; 6.25; 0.945;183;43; 0.2; 0.15; 0.06;0;0; 4.4; 4.4; 4.4;0; 5.3; 0.9;48; 0.12; 87.7
629; Josta; Jostaberry, raw; Ribes nidigrolaria; 1.00; 6.25; 0.800;199;48; 0.5;0;0;0;0; 12.5; 7.3; 4.6; 5.2; 0.8; 0.6;0;0; 85.5
789; Kachna divoká, maso z celého kusu bez kùe; Mallard (wild duck), meat from the whole carcass without skin, raw; Anas platyrhynchos; 0.58; 6.25; 0.945;578;138; 5.4; 1.85; 2.55; 0.70;0;0;0;0;0; 22.4; 1.2;61; 0.15; 70.8
788; Kachna divoká, maso z celého kusu s kùí; Mallard (wild duck), meat from the whole carcass with skin, raw; Anas platyrhynchos; 0.55; 6.25; 0.945;642;153; 7.8; 2.70; 3.86; 0.82;0;0;0;0;0; 20.8; 1.1;73; 0.18; 70.0
791; Kachna divoká, prsa, bez kùe; Mallard (wild duck), breast without skin, raw; Anas platyrhynchos; 1.00; 6.25; 0.945;483;114; 2.4; 0.71; 1.28; 0.20;0;0;0;0;0; 23.2; 1.3;57; 0.14; 71.7
790; Kachna divoká, stehno, bez kùe; Mallard (wild duck), thigh without skin, raw; Anas platyrhynchos; 0.90; 6.25; 0.945;596;142; 6.1; 1.67; 3.42; 0.60;0;0;0;0;0; 21.8; 1.1;71; 0.18; 71.3
238; Kachna domácí, maso, s kùí; Duck, domesticated, meat and skin, raw; ; 0.72; 6.25; 0.940;1650;400; 39.3; ; ; ; ;0;0;0;0; 11.5; 0.7;86; 0.2; 48.5
804; Kambala velká, maso bez kùe; Turbot, meat without skin, raw; Psetta maxima; 0.27; 6.25; 0.900;602;144; 9.2; 1.95; 3.06; 2.16;0;0;0;0;0; 15.4; 0.7;85; 0.21; 73.3
325; Kapr obecnı, maso bez kostí a kùe, dušené; Carp, meat without bone and skin, stewed; Cyprinus carpio L.; 1.00; 6.25; 0.000;757;182; 12.1; 1.99; 5.20; 0.93; ;0;0;0;0; 18.2; 1.1;43; 0.1; 67.5
326; Kapr obecnı, maso bez kostí a kùe, peèené; Carp, meat without bone and skin, roasted; Cyprinus carpio L.; 1.00; 6.25; 0.000;792;190; 12.8; 2.07; 5.54; 1.00; ;0;0;0;0; 18.7; 1.2;42; 0.1; 66.2
327; Kapr obecnı, maso bez kostí a kùe, smaené; Carp, meat without bone and skin, fried; Cyprinus carpio L.; 1.00; 6.25; 0.000;897;216; 15.8; 2.90; 6.45; 1.13; ;0;0;0;0; 18.4; 1.1;42; 0.1; 63.7
239; Kapr obecnı, maso bez kostí a kùe, syrové; Carp, meat, skinless, boneless, raw; Cyprinus carpio (L.); 0.52; 6.25; 0.000;630;151; 8.9; 1.48; 3.80; 0.70; ;0;0;0;0; 17.7; 1.0;41; 0.1; 71.1
688; Kapr obecnı, maso s kùí; Carp, meat with skin, raw; Cyprinus carpio; 1.00; 6.25; 0.900;522;125; 6.3; 1.69; 3.58; 0.19;0; 0.9; 0.9;0;0; 16.2; 0.9;39; 0.10; 75.8
805; Kapr obecnı, uzenı, maso bez kùe; Common carp, meat without skin, smoked; Cyprinus carpio; 0.83; 6.25; 0.900;661;158; 8.4; 1.99; 4.44; 0.77;0;0;0;0;0; 20.6; 3.2;869; 2.17; 66.7
577; Kapr, jikry a mlíèí; Carp, roe and milt, raw; ; 1.00; 6.25; 0.900;1150;278; 25.1; 5.63; 13.64; 2.57;0;0;0;0;0; 13.1; 1.8;57; 0.14; 57.7
578; Kapr, vnitønosti; Carp, offal, raw; ; 1.00; 6.25; 0.900;1304;316; 31.2; 8.92; 16.47; 2.65;0;0;0;0;0; 8.8; 0.9;57; 0.14; 55.9
56; Kapusta hlávková; Cabbage, savoy, raw; Brassica oleracea L. convar. sabauda L. O. E. Sc; 0.62; 6.25; 0.800;161;39; 0.7; ; ; ; ; 7.1; 2.3; ; 4.8; 3.4; 1.4;20; 0.1; 87.4
887; Kapusta kadeøavá; Savoy cabbage, raw; Brassica oleracea L. var. sabellica L.; 1.00; 6.25; 0.800;134;32; 0.5;0;0;0;0; 3.38; 2.47; 0.19; 0.91; 3.9; 1.8;38; 0.10; 90.4
57; Kapusta rùièková; Brussels sprouts, raw; Brassica oleracea L. convar. gemmifera (DC.) Markg; 0.77; 6.25; 0.800;204;49; 0.5; ; ; ; ; 8.6; 4.5; ; 4.1; 4.5; 1.4;9;0; 85.0
677; Karagenan; Carrageenan; ; 1.00; 6.25; 0.956;508;126; 0.6;0;0;0;0; 58.8; 0.8;0; 58.0; 0.6; 32.8;593; 1.48; 7.4
630; Karambola, plod; Carambola, fruits, raw; Averrhoa carambola; 1.00; 6.25; 0.800;133;32; 0.4;0;0;0;0; 8.0; 4.5; 4.5; 3.5; 0.6; 0.5;0;0; 91.4
561; Karubin; Carobin (carob bean gum, E410); ; 1.00; 6.25; 0.000;809;200; 1.3; 0.04; 0.57; 0.37;0; 78.0; 3.3;0; 74.7; 6.3; 1.0;58; 0.15; 13.4
435; Kaseinát potravináøskı; Food caseinate; ; 1.00; 6.38; 0.945;1500;359; 1.9; 1.32; 0.47;0;0;0;0;0;0; 84.3; 3.8;1300; 3.26; 10.0
631; Kaštany jedlé; Nuts, chestnuts; Castanea sativa; 1.00; 6.25; 0.800;705;167; 1.1; 0.15; 0.32; 0.40;0; 38.9; 33.7; 8.1; 5.2; 2.9; 0.8;0;0; 56.3
689; Káva praená; Coffee, beans, roasted; ; 1.00; 6.25; 0.956;1357;330; 13.8; 5.67; 1.25; 6.26;0; 63.0; 9.7;0; 53.3; 15.0; 4.2;2; 0.01; 4.0
395; Keèup; Tomato ketchup; ; 1.00; 6.25; 0.000;458;108; 0.5; ; ; ; ; 24.8; 23.4; ; 1.4; 1.8; 3.4;1125; 2.8; 69.5
58; Kedlubna; Kohlrabi, raw; Brassica oleracea L. convar. gongylodes L. Markg; 0.65; 6.25; 0.800;114;27; 0.1; ; ; ; ; 5.7; 3.2; ; 2.5; 2.1; 1.0;23; 0.1; 91.0
741; Kiwáno; Kiwano; Cucumis metuliferus; 0.60; 6.25; 0.800;149;36; 1.4; 0.24; 0.10; 0.82;0; 6.0; 2.6; 2.6; 3.4; 1.5; 0.7;2; 0.01; 91.4
39; Kiwi; Kiwi fruit, raw; Actinidia chinensis Planchon, var. deliciosa; 0.87; 6.25; 0.800;244;58; 0.8; 0.04; 0.05; 0.38; ; 13.1; 10.3; 6.8; 2.8; 1.0; 0.7;3;0; 84.4
954; Kiwi, lyofilizované; Kiwi fruit, lyophilized; Actinidia deliciosa; 1.00; 6.25; 0.800;1498;356; 4.8; 0.36; 0.59; 2.80;0; 83.7; 63.7; 49.0; 20.0; 4.6; 4.0;6; 0.02; 2.9
975; Klanopraška èínská, plody, sušené; Schisandra (Chinese magnolia-vine), dried; Schisandra chinensis; 1.00; 6.25; 0.800;1414;341; 14.3; 0.46; 2.04; 8.85;0; 64.1; 25.1; 5.2; 39.0; 8.6; 4.0;1;0; 9.0
656; Klíèky kukuøice; Corn, sprouted; Zea mays L.; 1.00; 6.25; 0.956;1505;356; 3.6; 0.45; 0.97; 2.02;0; 78.4; 69.5; 0.5; 8.9; 7.0; 1.1;0;0; 9.9
657; Klíèky ovesné; Oat, sprouted; Avena sativa L.; 1.00; 6.25; 0.956;1565;372; 7.6; 1.21; 3.17; 2.93;0; 69.4; 59.3; 0.2; 10.1; 11.3; 1.6;1;0; 10.0
658; Klíèky pohankové; Buckwheat, sprouted; Fagopyrum esculentum; 1.00; 6.25; 0.956;1400;335; 10.0; 1.91; 4.09; 3.53;0; 35.7; 15.3; 0.7; 20.5; 35.7; 7.9;0;0; 10.7
465; Klíèky pšenièné; Wheat sprouts; ; 1.00; 6.25; 0.700;1260;302; 7.8; 0.98; 0.77; 3.64;0; 50.7; 17.3; 8.3; 33.4; 24.4; 5.3;36; 0.01; 11.8
955; Klikva, lyofilizovaná; Cranberry, lyophilized; Vaccinium macrocarpon (Aiton); 1.00; 6.25; 0.800;1355;323; 3.2; 0.26; 0.66; 1.63;0; 86.6; 58.9; 31.0; 27.7; 0.7; 1.7;3; 0.01; 7.8
4; Knedlík bramborovı, modelová receptura; Dumplings from cooked potatoes, model recipe; ; 1.00; 6.25; 0.956;583;138; 0.6; 0.17; 0.20; 0.13; 0.02; 29.5; 27.6; ; 1.9; 4.5; 1.5;330; 0.8; 64.1
5; Knedlík bramborovı, trh; Dumplings from cooked potatoes, retail; ; 1.00; 6.25; 0.956;736;174; 0.7; 0.14; 0.18; 0.33;0; 37.3; 35.3; ; 2.0; 5.5; 1.8;490; 1.2; 54.7
157; Knedlík houskovı, modelová receptura; Dumpling from wheat flour, yeast, model recipe; ; 1.00; 6.25; 0.950;840;198; 1.4; 0.52; 0.51; 0.27;0; 40.0; 37.9; 2.0; 2.1; 7.5; 1.2;236; 0.6; 49.9
6; Knedlík chlupatı, modelová receptura; Dumplings from raw potatoes, modelová receptura; ; 1.00; 6.25; 0.956;476;113; 1.6; 0.74; 0.58; 0.18; 0.03; 21.8; 20.1; ; 1.7; 3.6; 1.0;245; 0.6; 72.1
89; Kokos mletı; Coconut meat, desiccated; ; 0.63; 5.30; 0.950;2830;687; 65.7; ; ; ; ; 23.8; 11.2; ; 12.6; 6.4; 1.8;28; 0.1; 2.3
59; Kopr; Dill, raw; Anethum graveolens L.; 0.87; 6.25; 0.800;143;34; 0.3; ; ; ; ; 7.1; 3.4; ; 3.7; 2.6; 1.8;27; 0.1; 88.2
838; Koryféna velká (zlak nachovı, mahi-mahi), maso bez kùe; Common dolphinfish (mahi-mahi), meat without skin, raw; Coryphaena hippurus; 1.00; 6.25; 0.700;413;98; 1.1; 0.39; 0.20; 0.09;0;0;0;0;0; 21.9; 1.2;43; 0.11; 74.5
839; Koryféna velká (zlak nachovı, mahi-mahi), maso s kùí; Common dolphinfish (mahi-mahi), meat with skin, raw; Coryphaena hippurus; 1.00; 6.25; 0.700;422;100; 1.1; 0.33; 0.18; 0.16;0;0;0;0;0; 22.4; 1.6;48; 0.12; 74.3
976; Koøen èernı; Black salsify, raw; Scorzonera hispanica L.; 0.78; 6.25; 0.800;309;73; 0.4;0;0;0;0; 16.0; 11.8; 2.1; 4.2; 3.5; 0.9;6; 0.01; 79.2
254; Koøení nové; Spices, allspice; Pimenta dioica; 1.00; 6.25; 0.000;1430;341; 7.0; ; ; ; ; 74.8; 53.2; ; 21.6; 5.6; 3.9;77; 0.2; 8.7
575; Koøení, bazalka, sušená; Spices, basil, dried; Ocimum; 1.00; 6.25; 0.956;988;238; 2.9; 1.09; 0.35; 1.13;0; 54.7; 13.7; 1.6; 41.0; 18.8; 14.4;64; 0.16; 9.2
638; Koøení, fenykl; Spices, fennel seed; Foeniculum vulgare; 1.00; 6.25; 0.956;1289;314; 16.1; 0.80; 13.06; 1.51;0; 51.3;0;0; 51.3; 16.7; 7.8;143; 0.36; 8.7
253; Koøení, høebíèek; Spices, cloves, dried; Syzygium aromaticum; 1.00; 6.25; 0.000;1510;363; 17.2; ; ; ; ; 63.6; 29.0; ; 34.6; 5.8; 6.0;240; 0.6; 7.4
633; Koøení, kardamom; Spices, cardamom; Elettaria cardamomum; 1.00; 6.25; 0.956;1138;273; 2.0; 0.26; 0.52; 0.15;0; 74.5; 35.9;0; 38.6; 8.6; 6.2;2;0; 8.7
259; Koøení, kmín; Spices, caraway, seed; Carum carvi; 1.00; 6.25; 0.000;1360;328; 13.7; ; ; ; ; 57.5; 19.5; ; 38.0; 12.6; 5.7;17;0; 10.5
579; Koøení, kmín øímskı; Spices, cumin seed; Cuminum cyminum; 1.00; 6.25; 0.956;1564;380; 22.9; 1.06; 14.27; 6.50;0; 43.8; 3.7; 2.6; 40.1; 19.6; 7.1;39; 0.10; 6.9
580; Koøení, kurkuma; Spices, turmeric, ground; Curcuma longa; 1.00; 6.25; 0.956;1296;308; 1.7; 0.04; 0.94; 0.09;0; 74.2; 53.2; 4.3; 21.0; 9.5; 6.6;27; 0.07; 8.0
257; Koøení, majoránka, sušená; Spices, marjoram, dried; Origanum majorana; 1.00; 6.25; 0.000;1090;263; 5.6; ; ; ; ; 58.9; 18.6; ; 40.3; 14.3; 11.4;48; 0.1; 9.8
260; Koøení, muškátovı kvìt; Spices, mace, ground; Myristica fragrans; 1.00; 6.25; 0.000;1700;411; 26.4; ; ; ; ; 54.6; 20.2; ; 34.4; 5.9; 2.3;80; 0.2; 10.8
261; Koøení, muškátovı oøíšek; Spices, nutmeg, whole; Myristica fragrans; 1.00; 6.25; 0.000;2020;489; 36.3; ; ; ; ; 43.9; 23.1; ; 20.8; 7.1; 2.8;16;0; 9.9
262; Koøení, paprika, sladká, mletá; Spices, paprika, dried; Capsicum; 1.00; 6.25; 0.956;1344;325; 13.8; 1.98; 1.87; 9.33;0; 56.9; 13.7; 11.4; 43.2; 15.0; 6.4;28; 0.07; 7.9
255; Koøení, pepø, èernı; Spices, pepper, black; Piper nigrum; 1.00; 6.25; 0.956;1400;335; 8.6; ; ; ; ; 62.7; 42.5; ; 20.2; 11.8; 5.0;142; 0.4; 11.9
258; Koøení, tymián, sušenı; Spices, thyme, dried; Thymus vulgaris; 1.00; 6.25; 0.000;1180;285; 7.4; ; ; ; ; 64.0; 27.0; ; 37.0; 9.1; 11.7;55; 0.1; 7.8
263; Koøení, zázvor, mletı; Spices, ginger, ground; Zingiber officinale; 1.00; 6.25; 0.800;1400;333; 4.7; ; ; ; ; 71.9; 59.4; ; 12.5; 7.1; 5.0;32; 0.1; 11.3
806; Krevety; Shrimps; Palaemon spp.; 0.67; 6.25; 0.700;356;84; 0.5; 0.11; 0.06; 0.13;0; 1.7; 1.7;0;0; 18.2; 2.1;94; 0.23; 77.5
177; Kroupy jeèné; Barley; Hordeum; 1.00; 5.83; 0.720;1480;350; 2.8; 0.47; 0.33; 1.19; ; 75.8; 68.4; ; 7.4; 9.2; 1.1;2;0; 11.1
186; Krupice kukuøièná, T1200; Corn/maize semolina T1200; Zea mays L.; 1.00; 6.25; 0.860;1470;347; 2.9; ; ; ; ; 73.9; 68.3; ; 5.6; 9.2; 1.1;23; 0.1; 12.9
187; Krupice kukuøièná, T600; Corn/maize semolina T600; Zea mays L.; 1.00; 6.25; 0.860;1490;351; 1.1; ; ; ; ; 78.9; 74.9; ; 4.0; 8.4; 0.6;10; 0.1; 11.0
659; Krupice pohanková; Buckwheat groats; Fagopyrum esculentum; 1.00; 6.25; 0.956;1474;348; 1.9; 0.36; 0.75; 0.67;0; 76.8; 73.4; 0.6; 3.3; 7.6; 0.9;0;0; 12.8
149; Krupice, pšenièná, hrubá, T 480, obsah popele max. 0,5 % v suš.; Wheat, grits, T 480, ash content max. 0.5% DM; ; 1.00; 6.25; 0.670;1460;343; 1.2; 0.18; 0.09; 0.52;0; 74.0; 70.5; 0.5; 3.5; 10.8; 0.4;1;0; 13.7
60; Køen; Horseradish, raw; Armoracia rusticana P. Gaertn., B. Mey. et Scherb.; 0.60; 6.25; 0.800;339;81; 0.5; ; ; ; ; 18.8; 11.5; ; 7.3; 3.9; 1.8;17;0; 75.0
984; Køen, sušenı, mletı; Horseradish, dried, milled; Armoracia; 1.00; 6.25; 0.800;1386;328; 0.9; 0.12; 0.11; 0.47;0; 73.4; 55.9; 21.2; 17.5; 15.4; 3.3;22; 0.05; 7.0
849; Køepelka celá, bez kùe; Japanese quail, meat from the whole animal without skin, raw; Coturnix japonica; 0.50; 6.25; 0.945;467;111; 3.2; 0.77; 1.03; 0.85;0;0;0;0;0; 20.5; 1.3;73; 0.18; 74.0
850; Køepelka celá, s kùí; Japanese quail, meat from the whole animal with skin, raw; Coturnix japonica; 0.54; 6.25; 0.945;722;173; 10.5; 3.25; 4.18; 2.34;0;0;0;0;0; 19.6; 1.2;60; 0.15; 68.1
851; Køepelka stehna bez kùe; Japanese quail, thigh without skin, raw; Coturnix japonica; 0.74; 6.25; 0.945;505;120; 4.7; 1.24; 1.89; 1.28;0;0;0;0;0; 19.5; 1.2;71; 0.18; 73.6
852; Køepelka, prsa bez kùe; Japanese quail, breast without, raw; Coturnix japonica; 1.00; 6.25; 0.945;462;109; 2.2; 0.58; 0.75; 0.64;0;0;0;0;0; 22.4; 1.4;52; 0.13; 74.0
853; Køepelka, prsa s kùí; Japanese quail, breast with, raw; Coturnix japonica; 1.00; 6.25; 0.945;578;138; 6.2; 1.70; 2.39; 1.73;0;0;0;0;0; 20.5; 1.4;56; 0.14; 71.2
854; Køepelka, stehna s kùí; Japanese quail, thigh with skin, raw; Coturnix japonica; 0.74; 6.25; 0.945;630;151; 8.3; 2.33; 3.35; 1.85;0;0;0;0;0; 19.0; 1.1;74; 0.19; 71.0
170; Køibice (ito trsnaté); Semi-perennial rye; Secale cereale var. multicaule; 1.00; 5.83; 0.720;1410;333; 2.4; 0.27; 0.37; 1.09; ; 69.5; 54.3; ; 15.2; 16.0; 2.0;2;0; 10.1
180; Kukuøice cukrová, sterilovaná; Sweetcorn, kernels, canned; Zea mays L.; 1.00; 6.25; 0.920;428;101; 1.1; ; ; ; ; 21.0; 18.5; ; 2.5; 3.1; 1.0;310; 0.8; 73.8
179; Kukuøice cukrová, zmrazená; Sweetcorn, kernels, frozen; Zea mays L.; 1.00; 6.25; 0.920;474;112; 1.4; ; ; ; ; 22.7; 20.5; ; 2.2; 3.3; 0.6;3;0; 72.0
660; Kukuøice mladá celá; Baby corn, raw; Zea mays L.; 1.00; 6.25; 0.800;116;28; 0.2;0;0;0;0; 5.8; 2.7;0; 3.1; 2.1; 0.5;0;0; 91.3
956; Kukuøice, cukrová, lyofilizovaná; Corn, lyophilized; Zea L.; 1.00; 6.25; 0.800;1591;378; 6.6; 1.27; 2.12; 1.88;0; 74.1; 60.7; 23.0; 13.4; 12.2; 2.0;11; 0.03; 5.1
977; Kumquat; Kumquats, raw; Fortunelle spp.; 1.00; 6.25; 0.800;318;76; 0.5;0;0;0;0; 18.9; 13.2; 12.6; 5.7; 1.6; 0.7;2; 0.01; 78.3
1002; Kùra pomeranèová, drcená, jemná; Orange peel, dried; Pomorancium; 1.00; 6.25; 0.800;1137;273; 1.3; 0.32; 0.20; 0.45;0; 82.6; 37.9; 26.2; 44.7; 5.1; 3.0;10; 0.02; 8.0
488; Kuskus; Couscous; ; 1.00; 6.25; 0.670;1490;356; 1.2; 0.20; 0.20; 0.47;0; 72.9; 68.7; 3.3; 4.2; 14.2; 0.8;4; 0.01; 10.9
998; Kuskus, celozrnnı; Couscous, whole grain; Couscous; 1.00; 6.25; 0.670;1448;342; 2.0; 0.25; 0.29; 0.78;0; 72.6; 64.7; 4.5; 7.9; 12.4; 1.3;4; 0.01; 11.7
527; Kùe kuøecí, prùmìr z celého trupu; Chicken, skin, average from the whole carcass, raw; ; 1.00; 6.25; 0.945;1855;450; 46.7; 13.57; 21.37; 8.54;0;0;0;0;0; 7.5; 0.4;43; 0.11; 44.0
551; Kùe vepøové, zbavené tuku; Pork, skin, fat removed, raw; ; 1.00; 6.25; 0.910;1636;395; 33.6; 14.04; 13.61; 2.57;0;0;0;0;0; 23.1; 0.5;88; 0.22; 39.5
61; Kvìták; Cauliflower, raw; Brassica oleracea L. convar. botrytis L. Markgr.; 0.64; 6.25; 0.800;110;26; 0.2; ; ; ; ; 4.9; 2.5; ; 2.4; 2.4; 0.9;26; 0.1; 91.6
11; Langoš, trh; Langos, yeast pancake, deep fried, retail; ; 1.00; 6.25; 0.953;1390;332; 14.5; 1.21; 8.70; 3.51; ; 42.9; ; ; ; 7.4; 0.8;200; 0.5; 34.4
678; Lecitin sluneènicovı; Sunflower lecithin; ; 1.00; 6.25; 0.956;2562;618; 52.7; 20.20; 12.30; 16.02;0; 28.6; 28.6;0;0; 7.5; 9.6;4; 0.01; 1.7
248; Leèo zeleninové, sterilované; Lecho, vegetable, sterilized; ; 1.00; 6.25; 0.000;138;33; 0.6; ; ; ; ; 6.2; 5.3; ; 0.9; 1.1; 0.9;222; 0.6; 91.2
301; Ledviny hovìzí; Kidney, ox, raw; ; 0.87; 6.25; 0.770;398;95; 3.6; 1.70; 1.10; 0.30; ;0;0; ;0; 15.6; 1.1;219; ; 79.2
205; Ledviny vepøové; Kidney, pig, raw; ; 0.95; 6.25; 0.790;439;105; 4.2; ; ; ; ; 0.4; 0.4; ;0; 16.3; 1.2;184; 0.5; 77.9
386; Lihovina, gin; Spirit, Gin; ; 1.00; 6.25; 0.000;1100;262;0;0;0;0; ;0;0;0;0;0;0;2;0; 62.1
377; Lihovina, Tuzemák, 40 %; Spirit, Tuzemak, 40%; ; 1.00; 6.25; 0.000;919;220;0;0;0;0; ;0;0; ;0;0; ;0;0; 68.3
383; Lihovina, vodka; Spirit, Vodka; ; 1.00; 6.25; 0.000;969;231;0;0;0;0; ;0;0;0;0;0;0;1;0; 66.6
466; Lilek; Eggplant, raw; Solanum melongena; 0.84; 6.25; 0.800;77;18;0;0;0;0;0; 5.0; 2.8; 2.3; 2.2; 0.8; 0.5;3; 0.01; 93.8
467; Limetka; Lime, raw; Citrus aurantifolia; 0.77; 6.25; 0.800;148;35;0;0;0;0;0; 9.9; 6.6; 1.6; 3.3; 0.6; 0.4;1;0; 89.2
807; Lín obecnı, maso bez kùe; Common tench, meat without skin, raw; Tinca tinca; 0.39; 6.25; 0.900;463;110; 4.7; 1.08; 2.23; 0.63;0;0;0;0;0; 17.0; 1.1;38; 0.09; 77.5
808; Lín obecnı, maso s kùí; Common tench, meat with skin, raw; Tinca tinca; 0.50; 6.25; 0.700;399;95; 2.7; 0.52; 0.99; 0.30;0;0;0;0;0; 17.6; 1.2;42; 0.10; 78.9
